,experiment_name,est_B_L1_norm,true_F_L1_norm,est_F_L1_norm,est_F_L1_error,est_QR_constraint_violation,num_epochs,initial_state,F_type,include_treatment,seed,S,dimension,num_controls,low_dimensional_structure,low_dimensional_training,G_initialization_method,regularization_parameter,max_epochs,batch_size,learning_rate,do_early_stopping,optimizer,gradient_clip_val,do_shuffle,do_line_search,lbfgs_memory,stopping_threshold,divergence_threshold,profiler,walltime,true_F^S_L1_norm,est_F^S_L1_norm,est_F^S_L1_error
0,Scaling S after resnet-ification,0.0,1.0794017428878278,1.0793395,0.00045613339205017087,1.9878231477737427,4192,random,low_rank,True,0,1,10,10,RGQ,supervised,identity,0.001,10000,100000,0.0005,True,ADAM,,False,True,100,0.1,inf,,532.3498251329875,1.0794017428878278,1.0793395042419434,0.00045613339205017087
1,Scaling S after resnet-ification,0.0,2.5743161248062836,2.5741436,0.0001727562679914696,5.307379350662232,5220,random,low_rank,True,0,1,20,10,RGQ,supervised,identity,0.001,10000,100000,0.0005,True,ADAM,,False,True,100,0.1,inf,,997.2100875719916,2.5743161248062836,2.574143648147583,0.0001727562679914696
2,Scaling S after resnet-ification,0.0,12.159734452960599,12.15865,0.027622509582624286,24.470917568206787,10000,random,low_rank,True,0,1,100,10,RGQ,supervised,identity,0.001,10000,100000,0.0005,True,ADAM,,False,True,100,0.1,inf,,7226.291759519023,12.159734452960599,12.158650398254395,0.027622509582624286
3,Scaling S after resnet-ification,0.0,24.617647556090496,24.615864,0.32002984278149493,49.36906697921753,10000,random,low_rank,True,0,1,200,10,RGQ,supervised,identity,0.001,10000,100000,0.0005,True,ADAM,,False,True,100,0.1,inf,,15805.97744988394,24.617647556090496,24.615863800048828,0.32002984278149493
4,Scaling S after resnet-ification,0.0,62.68577545878865,62.67979,1.0949910999166454,125.51192489184571,5296,random,low_rank,True,0,1,500,10,RGQ,supervised,identity,0.001,10000,100000,0.0005,True,ADAM,,False,True,100,0.1,inf,,24482.737699368037,62.68577545878865,62.67979049682617,1.0949910999166454
5,Scaling S after resnet-ification,0.0,125.0484786889876,125.04916,1.5245912831894122,250.25242161895753,3320,random,low_rank,True,0,1,1000,10,RGQ,supervised,identity,0.001,10000,100000,0.0005,True,ADAM,,False,True,100,0.1,inf,,35054.87028707203,125.0484786889876,125.04915618896484,1.5245912831894122
