,experiment_name,est_B_L1_norm,true_F_L1_norm,est_F_L1_norm,est_F_L1_error,est_QR_constraint_violation,num_epochs,initial_state,F_type,include_treatment,seed,S,dimension,num_controls,low_dimensional_structure,low_dimensional_training,G_initialization_method,regularization_parameter,max_epochs,batch_size,learning_rate,do_early_stopping,optimizer,gradient_clip_val,do_shuffle,do_line_search,lbfgs_memory,stopping_threshold,divergence_threshold,profiler,walltime,true_F^S_L1_norm,est_F^S_L1_norm,est_F^S_L1_error
0,After res-net-ified,0.0061049126,1.0794017428878278,1.0793724,0.00022584986711705058,5.1438211770005185e-08,40,random,low_rank,True,0,1,10,10,RGQ,fixed,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,15.653828485985287,1.0794017428878278,1.0793724060058594,0.00022584986711705058
1,After res-net-ified,0.3791092,1.0794017428878278,0.99877065,0.12866333585476475,2.2032013062833754e-08,32,random,low_rank,True,0,1,10,10,RGQ,SVD,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,8.734636542969383,1.0794017428878278,0.9987706542015076,0.12866333585476475
2,After res-net-ified,0.0,1.0794017428878278,1.0794036,1.3830309937767904e-05,0.5980301894433796,17,random,low_rank,True,0,1,10,10,RGQ,supervised,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,15.044216208043508,1.0794017428878278,1.0794036388397217,1.3830309937767904e-05
