,experiment_name,est_B_L1_norm,true_F_L1_norm,est_F_L1_norm,est_F_L1_error,est_QR_constraint_violation,num_epochs,initial_state,F_type,include_treatment,seed,S,dimension,num_controls,low_dimensional_structure,low_dimensional_training,G_initialization_method,regularization_parameter,max_epochs,batch_size,learning_rate,do_early_stopping,optimizer,gradient_clip_val,do_shuffle,do_line_search,lbfgs_memory,stopping_threshold,divergence_threshold,profiler,walltime,true_F^S_L1_norm,est_F^S_L1_norm,est_F^S_L1_error
0,low rank initial test,0.00034129203,1.4883672692569199,1.4885308,0.00029213054800551584,1.5751729334212427e-08,3,identity,low_rank,False,0,1,10,10,RGQ,SVD,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,0.5537496529868804,1.4883672692569199,1.4885307550430298,0.00029213054800551584
1,low rank initial test,0.000545256,1.4883672692569199,1.4883667,0.00022108716042253728,3.027183225867702e-08,38,identity,low_rank,False,0,1,10,10,RGQ,fixed,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,4.504052389005665,1.4883672692569199,1.488366723060608,0.00022108716042253728
2,low rank initial test,1.4588059,1.4883672692569199,1.488365,0.00021134973651483203,0.2424651747624739,64,identity,low_rank,False,0,1,10,10,RGQ,supervised,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,12.890082207974046,1.4883672692569199,1.4883650541305542,0.00021134973651483203
3,low rank initial test,0.00012394608,1.4883672692569199,1.4883679,1.5777803686480852e-05,2.23907061217693e-08,15,identity,low_rank,True,0,1,10,10,RGQ,SVD,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,16.521010114985984,1.4883672692569199,1.4883679151535034,1.5777803686480852e-05
4,low rank initial test,0.010884781,1.4883672692569199,1.4883615,0.0002839896460529379,3.027183225867702e-08,39,identity,low_rank,True,0,1,10,10,RGQ,fixed,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,26.79532279795967,1.4883672692569199,1.4883614778518677,0.0002839896460529379
5,low rank initial test,0.11119874,1.4883672692569199,1.4825432,0.005824068406432887,0.013311460350014386,854,identity,low_rank,True,0,1,10,10,RGQ,supervised,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,1299.0726777089876,1.4883672692569199,1.4825432300567627,0.005824068406432887
6,low rank initial test,0.15181677,1.7332659787765832,1.6953392,0.20090762382434363,2.2847351850430187e-08,20,random,low_rank,False,0,1,10,10,RGQ,SVD,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,4.477611298032571,1.7332659787765832,1.6953392028808594,0.20090762382434363
7,low rank initial test,0.007927575,1.7332659787765832,1.7332479,0.0008234612429622524,2.657639981862303e-08,44,random,low_rank,False,0,1,10,10,RGQ,fixed,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,5.692156456003431,1.7332659787765832,1.7332478761672974,0.0008234612429622524
8,low rank initial test,0.67696834,1.7332659787765832,1.6592237,0.405935543534026,0.1583872430527117,57,random,low_rank,False,0,1,10,10,RGQ,supervised,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,11.38134214800084,1.7332659787765832,1.6592236757278442,0.405935543534026
9,low rank initial test,0.00062136253,1.7332659787765832,1.733267,4.768736096338988e-05,2.4194064004445793e-08,11,random,low_rank,True,0,1,10,10,RGQ,SVD,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,7.95972271199571,1.7332659787765832,1.7332669496536255,4.768736096338988e-05
10,low rank initial test,0.018229999,1.7332659787765832,1.7331839,0.0005907011287561625,2.657639981862303e-08,39,random,low_rank,True,0,1,10,10,RGQ,fixed,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,17.31090941297589,1.7332659787765832,1.7331838607788086,0.0005907011287561625
11,low rank initial test,0.020055179,1.7332659787765832,1.7328095,0.0006168225813503147,0.03604154060216388,545,random,low_rank,True,0,1,10,10,RGQ,supervised,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,480.6588474130258,1.7332659787765832,1.7328095436096191,0.0006168225813503147
