,experiment_name,est_B_L1_norm,true_F_L1_norm,est_F_L1_norm,est_F_L1_error,est_QR_constraint_violation,num_epochs,initial_state,F_type,include_treatment,seed,S,dimension,num_controls,low_dimensional_structure,low_dimensional_training,G_initialization_method,regularization_parameter,max_epochs,batch_size,learning_rate,do_early_stopping,optimizer,gradient_clip_val,do_shuffle,do_line_search,lbfgs_memory,stopping_threshold,divergence_threshold,profiler,walltime,true_F^S_L1_norm,est_F^S_L1_norm,est_F^S_L1_error
0,After res-net-ified,0.00013295135,0.5096319837307113,0.5096388612501324,2.653865827959234e-05,0.0,9,random,random,True,0,1,10,10,none,,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,7.361639957001898,0.5096319837307113,0.5096388612501324,2.653865827959234e-05
1,After res-net-ified,0.0012394211,0.5096319837307113,0.509632672695443,5.424367685695874e-05,0.0,62,random,random,True,0,2,10,10,none,,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,43.96884399000555,2.6113348106616763,2.6113333666185645,0.00010718200254745014
2,After res-net-ified,0.017074028,0.5096319837307113,0.5096346027310937,0.000565305525265668,0.0,61,random,random,True,0,4,10,10,none,,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,68.85049050400266,68.93651986846446,68.93660801140379,0.007912655237708677
3,After res-net-ified,0.026637262,0.5096319837307113,0.5096199323888868,0.0014375156603873996,0.0,87,random,random,True,0,8,10,10,none,,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,212.62733985297382,48060.32571006669,48056.299856623846,19.28447612149914
4,After res-net-ified,,0.5096319837307113,,,0.0,2,random,random,True,0,16,10,10,none,,identity,0.001,10000,100000,1,True,L-BFGS,,False,True,100,0.1,inf,,10.960484975017607,23359594212.349136,,
