,seed,S,dimension,B_L1_norm,G_L1_norm,G_L2_error
0,0,1,1,1.4498165688825448e-11,0.9999995231628418,4.76837158203125e-07
1,0,2,1,7.2545277077229464e-12,0.9999995231628418,4.76837158203125e-07
2,1,1,1,1.4498165688825448e-11,0.9999995231628418,4.76837158203125e-07
3,1,2,1,7.2545277077229464e-12,0.9999995231628418,4.76837158203125e-07
4,2,1,1,1.4498165688825448e-11,0.9999995231628418,4.76837158203125e-07
5,2,2,1,7.2545277077229464e-12,0.9999995231628418,4.76837158203125e-07
